"Slot","Name","Cost","Color","Melee/Ranged","Type","Subtype","Effectiveness (0-4 = common, 5-8 = uncommon, 9-10 = rare)","Rules","Flavor","Attack Power","Health","Image","Artist","Notes",,"Name Size","Subtype Size","Has PH","Color Calculator","Iconified Cost","Iconified Rules","Italicized Type","Setted Slot",,
"0_001","Bullet","0",#NAME?,,"Asset","<u>Transient</u> Bullet","0","<p><center><u>Transient</u> (If ~ would enter your discard pile, instead remove it from the game.)</center></p><p>[T], <u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: ~ deals 2 damage to an asset or player of your choice.</p><p>[T], <u>Forfeit</u> ~: Choose a gun you control; restore 1 ammo to it.</p>",,"","",,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_0_001",,
"0_002","Doubt","3",#NAME?,,"Effect","<u>Transient</u> Tragedy","0","<center><u>Transient</u> (If ~ would enter your discard pile, instead remove it from the game.)</center><p>When you draw ~: Reveal it and your commander loses 1 loyalty.</p><p>Each commander loses 1 loyalty.</p>","""A great leader is able to assuage the doubts of their critics.""","","",,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_0_002",,
"0_003","Incarceration","3",#NAME?,,"Effect","<u>Transient</u> Tragedy","0","<p>When you draw ~: Reveal it, then utilize all of your generators. This effect can't be responded to.</p><p></p><p>Each player draws a card.</p>","""A night in prison never hurt anyone."" <p>-- Capt. Lux</p>","","",,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_0_003",,"."
"0_004","Tip","2",#NAME?,,"Effect","<u>Transient</u> Clue <u>Response</u>","0","<center><u>Transient</u> (If ~ would enter your discard pile, instead remove it from the game.), <u>Response</u> (You may deploy ~ in response to other cards and effects.), <u>Advantageous</u> (When ~ resolves, draw a card.)</center><p>When you draw ~, reveal it, then draw a card.</p>","1 step close to the truth.","","",,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_0_004",,
"0_005","Duck","1",#NAME?,"Melee","Asset","<u>Transient</u> Duck","0","<center><u>Transient</u> (If ~ would enter your discard pile, instead remove it from the game.), <u>Flying</u> (~ can only be intercepted by assets with ranged or flying. If ~ is intercepting you may choose another combatant or commander you control, that is not also intercepting, to take the damage instead.)</center>",,1,2,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_0_005",,
"0_006","Emergency Defibrillator","BB",#NAME?,,"Effect","<u>Fleeting</u> <u>Transient</u> <u>Response</u>","0","<center><u>Fleeting</u> (Discard ~ at the end of your turn.), <u>Transient</u> (If ~ would enter your discard pile, instead remove it from the game.), <u>Response</u> (You may deploy ~ in response to other cards and effects.)</center><p>Choose a combatant that entered your discard pile this turn; return that card to your hand.</p>",,,,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_0_006",,
"0_007","Fellow Officer","B",#NAME?,"Melee","Asset","<u>Transient</u> Human Police","0","<center><u>Transient</u> (If ~ would enter your discard pile, instead remove it from the game.)</center><p>~ can be placed into a ranged slot of a formation.</p>","""Now they make fun of me for getting covered in <b>REDACTED</b>.""",2,2,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_0_007",,
"0_008","Savings","0","Generic",,"Effect","<u>Transient</u> <u>Response</u>","0","<center><u>Transient</u> (If ~ would enter your discard pile, instead remove it from the game.), <u>Response</u> (You may deploy ~ in response to other cards and effects.)</center><p>Choose a card in your hand; it permanently costs [1] less.</p>",,,,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_0_008",,
"0_CMDR","W.E.B","ROYGBP",#NAME?,,"Commander","Virtual","0","<p><b><i>As Commander</i> --</b> [5], ~ loses 2 loyalty: Draw a card.</p><p>(~ can only be included in a deck as its commander.)</p>",,"","",,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_0_CMDR",,
"R_CMDR_1","Lexi 'Lux' Xenos, Beacon's Captain","2R",#NAME?,"Ranged","Commander","Human Female Beacon Pirate Leader","9","<center>(Becomes <i>'Lux's Quest'</i> if you already control Lux.) <u>Warrant</u></center><p><b><i>As Commander</i> --</b> Whenever an asset you don't control leaves the battlefield or comes under your control, you may look at the top 2 cards of your deck, reorder them, and then send any number of them to your discard pile.</p><p><b><i>As Asset</i> --</b> Whenever Lux deals combat damage to a commander, put the top 2 cards of that commander's owner's deck under her. Treat those cards as if they were in your hand.</p>","""Lexi was weak and frail. Lux is a gleaming beacon for the downtrodden.""",4,4,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_R_CMDR_1",,
