Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
AMA.t0,Amazon Tributary,,,,Generator,<u>Transient</u> River,0.0,[T]: Add [U][V] to your energy bank. \n[T]٫ [X][X][G][G]٫ Forfeit ~: Your commander gains X morale.,,,,,,
AMA.CMDR,Naamã٫ Avatar of Amazonian Guardian Myths,5.0,UUUUU\nVVVVV,Melee,Commander,Human Male Enigmatic Painted Kayapo,,(Becomes `“We can make you like the Jaguar”` if you already control ~@.)\n<b><i>As Commander</i> --</b> Other players may help pay the energy costs of cards you deploy. You may choose to make any player who helped pay for a card its controller.\n<b><i>As Asset</i> --</b> When you deploy ~٫ search your deck for a Myth card٫ remove it from the game; then ~ becomes a copy of that card.,... But they wanted more and more and he let them drag him away from his jungle٫ from his people٫ from his sister.,,1.0,1.0,,
AMA.CMDRb,“We can make you like the Jaguar”,2.0,UUV,,R. Effect,Personal,0.0,Choose a combatant to٫ until end of turn٫ gain <u>Graceful</u> (It can’t be intercepted by assets with lesser Attack Power.)\n<u>Personal</u> (Shuffle `Nama٫ Avatar of Amazonian Guardian Myths` back into your deck.),When the cloaked men came offering to make Nama into a guardian from the myths he adored of course he jumped at the chance...,,,,,
AMA.UV1,Yacumama٫ Gaping Maw,2.0,GUV,Melee,R. Asset,Animal Myth Snake,0.0,<u>Myth</u> (Myths can’t be deployed.) \nWhen ~ enters the battlefield each player creates an `Amazon Tributary`. \n~ can only attack players who control a River.,,,10.0,10.0,,
AMA.UV2,Curupira٫ Jungle’s Wrath,2.0,GUV,Melee,R. Asset,Myth Spirit,0.0,<u>Myth</u> (Myths can’t be deployed.) \nWhenever a combatant deals damage to another combatant٫ it permanently gets -1/-0.,,,3.0,3.0,,
AMA.MV1,Boitatá٫ Flaming Serpent,2.0,GMV,Melee,R. Asset,Animal Myth Snake,0.0,<u>Myth</u> (Myths can’t be deployed.) \nWhenever an opponent forces one of your generators to leave the battlefield٫ or deals damage to multiple animals at once; ~ deals 3 damage to their commander.,,,2.0,2.0,,
AMA.UV3,Jaguar٫ Guardian Spirit,2.0,GUV,Melee,R. Asset,Animal Myth Cat,0.0,<u>Graceful</u> (~@ can’t be intercepted by assets with lesser Attack Power.)٫ <u>Myth</u> (Myths can’t be deployed.) \n<i>Strength in Numbers</i> -- Whenever ~@ attacks٫ choose another combatant (even on the backline)٫ that combatant attacks with ~@٫ if the asset attacking with ~@ would die in combat instead return it to your hand.,,,4.0,2.0,,
AMA.VO1,Ceucy٫ Virgin Mother,2.0,GVO,Melee,R. Asset,Human Female Myth,0.0,<u>Myth</u> (Myths can’t be deployed.) \nWhenever your commander gains morale ~@ gets +1/+0. Whenever a combatant you control is healed ~@ gets +0/+1.\nOnce ~ has been on the battlefield for 9 turns٫ create `Jurupari٫ Invisible Child` on the battlefield with half of ~@‘s attack power and health transfered to him.,,,2.0,4.0,,
AMA.VO1b,Jurupari٫ Invisible Child,2.0,GUO,Melee,R. Asset,<u>Transient</u> Human Male Child Myth,0.0,<u>Myth</u> (Myths can’t be deployed.)٫ <u>Stealth</u> (~ can’t be intercepted.)\nAt the beginning of each turn٫ ~ gets +1/+1.\nOnce ~ has been on the battlefield for 15 turns٫ he permanently looses <u>Stealth</u> and gains <u>Unkillable</u> (~ can’t be killed.).,,,0.0,0.0,,
AMA.G1,Naamã٫ Amazonian Lorekeeper,1.0,2,Melee,R. Asset,Human Male Painted Kayapo Child,,Whenever you draw a Myth you may instead remove it from the game٫ draw another card٫ search your library for a card٫ shuffle٫ and put that card on top.,As a child Nama loved nothing more than to the hear the stories of the great heros and spirits of the past. As a young adult he set out to learn the stories of neighboring tribes.,1.0,1.0,,,
