Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
NMI.t0,Enigmatic Railgun,5.0,6OOII,,Asset,<u>Equipment</u> <u>Gun</u> Enigmatic,,<u>Ammo 1</u> (Whenever the attached asset attacks or intercepts٫ reduce ~‘s ammo by 1 [to a minimum of 0.] Instead of firing an ammo you may treat ~ as if it had ammo 0 until end of turn.)٫ <u>Gun</u>٫ <u>Equipment</u>\nAs long as ~ has ammo remaining٫ assets dealt combat damage by the attached asset are removed from the game. If ~ would be detached instead remove it from the game.,,,,,,
NMI.CMDR,Summa Dux,1.0,OI,Melee,Commander,Enigmatic Leader,,(Becomes `Enigmatic Machinations` if you already control ~@.)\n<u>Armed -- `Enigmatic Railgun`</u>\n<b><i>As Commander</i> --</b> Combatants your team controls have <u>Brainwashed</u> (Whenever this asset could attack you may instead utilize it to gain morale equal to half its <u>Generalized Cost</u>٫ rounded up.)\nWhenever you activate a <u>Brainwashed</u> effect٫ each opponent may draw a card.\n<b><i>As Asset</i> --</b> [1]٫ Choose a commander٫ reveal the top card of its owner’s deck.,,0.0,5.0,,,
NMI.CMDRb,Enigmatic Machinations,2.0,OI+,,R. Effect,<u>Response</u> <u>Personal</u> Enigmatic,0.0,<u>Decision</u> (You may choose one or more٫ this card’s cost is the sum total of its base cost plus all decisions made.)\n-> <u>Summon a Minion -- [I][I][+]</u> Choose a revealed enigmatic asset٫ search you deck for a copy of it٫ shuffle٫ then put that card on top.\n-> <u>Make Them Dance -- [O][O][+]</u> Choose an enigmatic asset٫ activate one of its triggered effects ignoring all activation conditions.\n<u>Personal</u> (Shuffle `Summa Dux` back into your deck.),,,,,,
NMI.O1,Nasir Malual٫ Enigmatic Cage Master,2.0,3O,Melee,R. Asset,Human Male Enigmatic Prison,,(Becomes `“Send them to Nasir”` if you already control ~@.)\n<u>Brainwashed</u> (Whenever this asset could attack you may instead utilize him to gain morale equal to its generalized cost.)\nIf a card would be put into a discard pile٫ instead remove it from the game.,Everyone who meet Nasir describes him as a bear of a man...,3.0,3.0,,,
NMI.O1b,“Send them to Nasir”,2.0,OOO,,R. Effect,<u>Personal</u> Enigmatic,0.0,Create a Solitary Confinement on the battlefield except it has <u>Escalating Cost [1]</u> (At the beginning of your turn either pay [1] for each time this card has seen this effect activated or <u>Forfeit</u> ~.).\n<u>Personal</u> (Shuffle `Nasir Malual٫ Enigmatic Cage Master` back into your deck.),... Very few of them ever get to tell the tale to anyone else.,,,,,
NMI.Gen1,Nasir’s Reeducation Camp,,,,R. Generator,Enigmatic Prison,,(Becomes `Solitary Confinement` if you already control ~.)\n[T]: Add [1] for each card under a Prison you control.\n[T]٫ [2][O][I]: Choose an asset to permanently gain <u>Brainwashed</u> (Whenever that asset could attack you may instead utilize it to gain morale equal to its generalized cost).,,,,,,
NMI.N1,Manaratan Exoskeleton,4.0,NNNNNNNN,Ranged,Asset,Manaratan Vehicle,,<u>Vehicle</u> (When ~ enters the battlefield٫ you may choose another asset to attach it to. The combined unit has all effects of both assets٫ and the highest attack power٫ health٫ and ranged status of the two.),,4.0,4.0,,,
NMI.N2,Ibrahim Manaratan٫ Mechanical Warlord,4.0,NNNNNNNN,Ranged,R. Asset,Augmented Male Manaratan Pirate Engineer,,Becomes <i>‘Ibrahim’s Tinkering’</i> if you already control ~.)\n<u>Armed -- `Manaratan Exoskeleton`</u> (~ enters with `Manaratan Exoskeleton` attached.)\nWhenever you lose control of an asset٫ choose other assets to attach its equipment to.,,0.0,3.0,,,
NMI.N2b,Ibrahim’s Tinkering,3.0,NNNNNN,,R. Effect,<u>Personal</u> Experiment,0.0,Choose a non-combatant asset in your hand or on your battlefield and another in your discard to swap.\n<u>Personal</u> (Shuffle <i>‘Ibrahim ?٫ Mechanical Warlord’</i> into your deck.),,,,,,
NMI.N3,Manaratan Loyalist,2.0,NNNN,Melee,Asset,Human Manaratan Pirate,,<u>Armed -- `Manaratan Exoskeleton`</u> (~ enters with `Manaratan Exoskeleton` attached.)\nWhenever a combatant an opponent owns comes under your control٫ until end of turn٫ all `Manaratan Exoskeleton`s become 6/6s.,,1.0,1.0,,,
