Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
HNA.G1,Angel Tracker,1,2,,Asset,Equipment Link,,<u>Equipment</u> (When ~ enters the battlefield٫ you may choose an asset to attach it to.)\nAt the beginning of your turn٫ if you own but don’t control the attached asset٫ gain control of it.,“... When I woke up٫ a voice in my head kept repeating that if I wanted to live I would fight and if I wanted to eat I would win.” ~Hana,,,,,
HNA.CMDR,Hana٫ Battlemaster,1,NM,Melee,Commander,Augmented Female Hana Gladiator,,<center>(Becomes `Hana’s Burn the Ring` if you already control ~@.)</center>\n<u>Armed -- `Angel’s Katana`</u>٫  <u>Armed -- `Angel Tracker`</u>\nIf a commander has more <u>Injury</u> than half its starting morale its owner loses the game.\n<b><i>As Commander</i> -- </b> You can’t include combatants in your deck. Scrappy cards you control gain “Choose a commander to take <u>X Blockable Damage</u> (X is half that effect’s <u>Generalized Cost</u> rounded up.)“\n<b><i>As Asset</i> -- </b> Whenever a combatant you control dies٫ create a <u>Fleeting</u> <u>Transient</u> `Torment the Handlers` in your hand.,“I hate to see the others suffer٫ but it has become so ingrained in the culture here that I fear it would take a revolution to change it.”,1.0,1.0,,,
HNA.CMDRb,Hana’s Burn the Ring,2,2NM,,R. Effect,<u>Stylish</u> <u>Personal</u>,0.0,<u>Stylish 2</u> (You may discard this card to convert the next 2 damage your commander would receive this turn into <u>Injury</u>.)\nYou may only deploy ~ if your commander has 5 or more <u>Injury</u>.\nChoose up to 3 assets or commanders; ~ deals <u>6 Blockable Damage</u> (Blockable Damage directed towards a commander can be intercepted as if it were an attacking combatant.) split between them. Assets damaged this way can’t intercept until end of turn.\n<u>Personal</u> (Shuffle `Hana٫ Battlemaster` into your deck.),“Looks like Hana thinks the newbie’s too beat up to keep going. Why else would she put the flames on Keri?” ~Angel Pit Announcer,,,,,
HNA.NM1,Torment the Handlers,1,NM,,Effect,Scrappy <u>Stylish</u> <u>Response</u>,,<u>Stylish 1</u> (You may discard this card to convert the next 1 damage your commander would receive this turn into <u>Injury</u>.)\nChoose a melee combatant you control; until end of turn٫ it gets +2/+3 and <u>Brutal</u> (It deals combat damage before assets without Brutal.). Choose a combatant an opponent controls to becomes utilized and٫ until end of turn٫ get -3/-2.,“‘In this business you fight or you die.’ My handler gave me that advice when I was first captured٫ but I was the one to teach him what it meant.” ~Hana,,,,,
HNA.NM2,Angel Trafficking,3,XNM,,R. Effect,,,<u>Prepare 4 -- [N][M]</u> (Pay [N][M] and put ~ into your deck fourth from the top. When you would draw ~٫ instead deploy it without paying its cost.)٫ <u>Unfundable</u> (Banked energy can’t be spent to deploy ~. Instead you must utilize generators as part of its cost.)\nChoose up to [X] (X is 2 if you prepared.) Female assets; they become melee Augmented Gladiators with <u>Transient</u> `Angel Tracker`s attached.,“Sssh٫ quiet now! The faster you fall asleep the faster this will all be over.” ~Kita Inagawa,,,,,
HNA.G2,Hana Shinsetsu٫ Pre-Med College Student,2,4,Melee,Asset,Human Female Hana Student,,(~@ is not renowned.)\nEach time ~ has seen you activate 4 `Savings`٫ draw a card.,“I was late walking home one night... then suddenly a car with no lights on pulled out of a alley into me...”,1.0,1.0,,,
HNA.G3,Punch,0,0,,Effect,Scrappy,,Choose anything controlled by an opponent to take <u>1 Blockable Damage</u> (Blockable Damage directed towards a commander can be intercepted as if it were an attacking combatant.)\nYour commander gains 1 <u>Injury</u> (Whenever it would gain morale it instead removes Injury first.).,“Ladies and gentlemen look at that rookie go٫ she has no pizzaz to her style but she knows what happens if she doesn’t try!” ~Angel Pit Announcer,,,,,
HNA.G4,Kick,0,0,,Effect,Scrappy <u>Response</u>,,Choose a combatant to take <u>3 Blockable Damage</u> (Blockable Damage directed towards a commander can be intercepted as if it were an attacking combatant.).\nUntil the end of your next turn٫ whenever your commander would lose morale you lose an additional morale٫ gain 1 <u>Injury</u> (Whenever it would gain morale it instead removes Injury first.)٫ and don’t draw a card.,“Oh that spin must have hurt... And that folks is why you should leave kicking to the professionals.” ~Angel Pit Announcer,,,,,
HNA.M1,Desperate Bite,1,M,,Effect,Scrappy <u>Stylish</u> <u>Response</u>,,<u>Stylish 1</u> (You may discard this card to convert the next 1 damage your commander would receive this turn into <u>Injury</u>.)\nChoose anything to take <u>X Blockable Damage</u> (Blockable Damage directed towards a commander can be intercepted as if it were an attacking combatant. X is 4 minus the number of cards in your hand.),“Look at that desperation folks has our beautiful little flower met her match?” ~Angel Pit Announcer,,,,,
HNA.N1,Sword Plant,1,N,,Effect,Scrappy <u>Stylish</u>,,<u>Stylish 1</u> (You may discard this card to convert the next 1 damage your commander would receive this turn into <u>Injury</u>.)٫ <u>Permanence</u> (Damage ~ deals is not removed at end of turn.)\nAs an additional cost to deploy ~٫ <u>Forfeit</u> a Sword you control.\nChoose anything to take <u>3 Blockable Damage</u> (Blockable Damage directed towards a commander can be intercepted as if it were an attacking combatant.),“Ooh and with a savage thrust Odachi plants her sword into Yukki’s chest. Let’s hope the boys downstairs can get a girl a new lung!” ~Angel Pit Announcer,,,,,
