Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
SRA.G1,ExaLink Flagship,1,II,,Asset,<u>Augmentation</u> Link,,<u>Augmentation</u> (Whatever ~ is attached to is Augmented in addition to its other types.)\nWhen ~ enters٫ Choose a commander to attach it to.\nThat commander's owner plays with the top card of their deck revealed.,In 2024 our first brain computer interface was implanted. By 2040 they were as ubiquitous as the smartphone.,,,,,
SRA.U1,Black Alley Brain Interface,3,4U,,Effect,<u>Augmentation</u> Link,,<u>Augmentation</u> (Whatever ~ is attached to is Augmented in addition to its other types.)٫ <u>Prepare 2 -- [U]</u> (Pay [U] and put ~ into your deck second from the top. When you would draw ~٫ instead deploy it without paying its cost.)\nWhen ~ enters the battlefield٫ Choose a commander to attach it to.\nThat commander's owner can't be forced to reveal cards unless the revealer pays [1] for each card.,Links have been tapped since the 60s little lady. Sure I know how to fix that problem... for a price.,,,,,
SRA.G2,Linking Ceremony,0,0,,Effect,Link,,Choose a commander٫ reveal its owner's hand.,For most people٫ their 25th birthday marks their becoming an adult. For some it's the best day of their life٫ for others not so much.,,,,,
SRA.CMDR,Sara Anthony٫ Cyber Criminal,3,IIIIII,Melee,Commander,Human Female Child Hacker,,(Becomes `Dark Web Research` if you already control ~.)\n<u>Hacker X</u> (Whenever ~ deals damage to a commander٫ look at the top X cards of its owner's deck٫ then put one of them into your hand. X is the number of effect cards in your discard pile.)\n<b><u>As Commander</u> --</b> You maximum hand size is doubled (this applies after any fixed additions or subtractions.)\n<b><u>As Asset</u> --</b> Virus cards in your hand gain <u>Append to Opponent's Card [X]</u> ([X] is the card's cost.),,2.0,2.0,,,
SRA.CMDRb,Dark Web Research,1,II,,R. Effect,<u>Personal</u> <u>Response</u> Study,0.0,<u>Append to Effect [I][I]</u> (You may spend [I][I] to add this card's effects to an effect on the stack. Remove its effects from that card after it has resolved.)٫ <u>Response</u> (You may deploy ~ during response windows.)\nDraw a card.\n<u>Personal</u> (Shuffle `Sara Anthony٫ Cyber Criminal` back into your deck.)٫ ,,,,,,
SRA.G3,Library Study,2,3,,Effect,Study,,Draw X cards (X is one plus the number of times ~ has resolved this game.),,,,,,
SRA.I1,Security Black Out,4,5II,,Effect,<u>Response</u> Virus,,<u>Response</u> (You may deploy ~ during response windows.)\nChoose a combatant you control٫ until end of turn٫ it gains <u>Stealth</u> (The chosen asset can't be intercepted.),,,,,,
SRA.I2,Counter Hack,2,2II,,Effect,<u>Response</u> Virus,,<u>Response</u> (You may deploy ~ during response windows.)\nChoose a card on the stack٫ until end of turn٫ it can't be Chosen or hacked.,,,,,,
SRA.I3,Hack,2,III,,Effect,<u>Response</u> Virus,,<u>Response</u> (You may deploy ~ during response windows.)\nUntil end of turn٫ whenever you hack a card send it to the top of it's owner's deck instead of to their discard.\n<u>Card Hack</u> (Choose a card on the stack٫ send it to its owner's discard pile٫ none of its effects occur.),,,,,,
SRA.I4,Quicken,1,I,,Effect,<u>Response</u> Virus,,<u>Response</u> (You may deploy ~ during response windows.)\nChoose a card in your hand٫ until end of turn it gains <u>Response</u>.,,,,,,
