Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
AXL.t0,Bullet,0,0,,Effect,<u>Transient</u> Resource Bullet,0.0,<u>Transient</u> (If ~ would enter your discard٫ instead remove it from the game.)\n~ deals 1 damage to an asset or commander of your choice or choose a gun you control; restore 1 ammo to it.,,,,,,
AXL.t1,Incarceration,0,0,,Effect,<u>Transient</u> Tragedy,0.0,<u>Transient</u> (If ~ would enter your discard٫ instead remove it from the game.)\nWhen you draw ~٫ utilize all of your generators they do not reset this turn٫ then drain all energy from your bank (This effect can not be responded to).,,,,,,
AXL.t2,Blackmail,0,0,,Effect,<u>Transient</u> <u>Response</u>,0.0,<u>Transient</u> (If ~ would enter your discard٫ instead remove it from the game.)٫ <u>Response</u> (You may deploy ~ during response windows.)\nChoose a commander٫ create an `Incarceration` on top of its owner's deck.,,,,,,
AXL.CMDR,Axel Reid٫ Reconstructed Dissident,3,UUUUU,Ranged,Commander,Augmented Male Politician Axel Delta,,(Becomes `Axel's Example` if you already control ~.)\n<u>Pierce</u> (~@ deals combat damage greater than the combined health of the assets intercepting it to the commander it is attacking and bypasses Armor.)٫ <u>Reckless</u> (~@ can't intercept)٫ <u>Warrant</u> (When you resolve ~ shuffle an `Incarceration` into your deck.)\n<b><i>As Commander</i> --</b> Whenever an asset enters the battlefield٫ you may pay [X][U][U]. If you do it permanently gains all of ~@'s keywords and +X/+0.,,6.0,2.0,,,
AXL.CMDRb,Axel's Example,3,UUUUU,,Effect,,,Choose a commander to٫ until end of turn٫ become an asset. (Its health is linked to its morale٫ it can't leave the battlefield.)\n<u>Personal</u> (Shuffle `Axel Reid٫ Reconstructed Dissident` back into your deck.),,,,,,
AXL.G1,Axel Reid٫ Defense Attorney,1,1,Melee,R. Asset,Human Male Axel Civilian,,(Becomes `Axel's Study` if you already control ~@.)\n<u>Advantageous</u> (When ~ resolves٫ draw a card.)\nWhenever a combatant you control is chosen٫ you may instead discard two cards. If you do ~@ becomes chosen instead.,,1.0,1.0,,,
AXL.G1b,Axel's Study,2,2I,,R. Effect,<u>Personal</u> <u>Response</u> Study,0.0,<u>Response</u> (You may deploy ~ during response windows.)\nDraw X cards (X is one plus the number of times a Study card has resolved this game.)\n<u>Personal</u> (Shuffle `Axel Reid٫ Defense Attorney` back into your deck.),,,,,,
AXL.G2,Samantha Frisk٫ Axel's Secretary,1,2,Melee,R. Asset,Human Female Sam Civilian Secretary,,"(Becomes `""She Always Has Exactly What I Need.""` if you already control ~@.)\n<u>Quick Hire</u> (When ~@ is hired as a generator٫ she can be utilized as soon as she is hired.)\n[T]: Add [2] to your energy bank.",,1.0,1.0,,,
AXL.G2b,"""She Always Has Exactly What I Need.""",5,11,,R. Effect,<u>Personal</u> Study,0.0,Search your deck for a card٫ shuffle٫ and put it on top.\n<u>Personal</u> (Shuffle `Samantha Frisk٫ Axel's Secretary` back into your deck.),,,,,,
AXL.U1,Loyal Supporter,1,UU,Melee,Asset,Human Civilian,,<u>Advantageous</u> (When ~ resolves٫ draw a card.)٫ <u>Subterfuge</u> (Cards can't be drawn whenever ~@ is attacking.)\n<u>Once</u> (As you activate this effect٫ remove it from this card): Remove the first Tragedy card in your deck from the game.,,1.0,2.0,,,
AXL.U2,Political Campaign,4,6UU,,Asset,Event,,Whenever one or more Tragedy cards enter your deck٫ create a <u>Transient</u> `Loyal Supporter`.,,,,,,
AXL.U3,Political Intern,2,UUUU,Melee,Asset,Human Civilian Intern,,<u>Subterfuge</u> (Cards can't be drawn whenever ~@ is attacking.)٫ <u>Quick Hire</u> (When ~ is hired as a generator٫ it can be utilized as soon as it is hired.)\n[T]: Add [U].\n[5]٫ [T]: Swap control of ~ and an asset of your choice an opponent controls.,"""Of course Marina... I would be happy to give your daughter a summer job... Anything for a... umm... friend."" ~Axel Reid",2.0,1.0,,,
AXL.G3,Scared Girl,0,0,Melee,Asset,Human Female Child,,When ~ leaves the battlefield create a `Blackmail` on top of your deck.,"""They dragged a girl... god she couldn't have been older than my new intern... out of the van. Stuck a gun to my head... told me to do awful things to her...",0.0,1.0,,,
AXL.U4,Political Initiation,5/4+,1UU+,,Effect,<u>Decision</u>,,<u>Decision</u> (You may choose one or more٫ this card's cost is the sum total of its base cost plus all decisions made.)\n-> <u>He Refused? -- [X][Z][Z][Z][+]</u> At the beginning of your next Z turns٫ create a `Bullet` in your hand then choose anything to take X damage.\n-> <u>Record the Deed -- [2][I][I][+]</u> Create a `Blackmail` in your hand.,"...I refused."" ~Axel Reid",,,,,
AXL.U5,Full Body Reconstruction,4,UUUU,,R. Effect,<u>Response</u> Surgery,,(Renowned Effects can only be deployed if you control a Renowned Asset in addition to your Commander.)\n<u>Unfundable</u>\nAs an additional cost to deploy ~ <u>Forfeit</u> (The specified card's owner puts it into their discard pile.) a Drone you control. Choose an asset٫ the next time it would leave the battlefield this turn٫ it instead permanently gains <u>Sluggish</u> (That asset deals damage after other combatants.) and is Augmented.,"""Sara *gasp* what are you *cough* doing...""\n""Don't talk! This is going to hurt but I won't let a friend die! Not again.""",,,,,
AXL.U6,Axel Reid٫ Political Dissident,2,U/MU/MU/M,,Asset,Augmented Male Politician Axel,,<u>Reckless</u> (~@ can't intercept)٫ <u>Sluggish</u> (~@ deals damage after other combatants.)\n~@ is not renowned.\n~@ gets +1/+0 for each combatant in your discard pile.,After his reconstruction Axel tried to expose what had happened to him and likely others. He lost his reelection.,0.0,1.0,,,
AXL.UI1,Sara Arigotti٫ Dissident Bodyguard,5,7UI,Melee,R. Asset,Augmented Human Female Child Bodyguard,,(Becomes `Continuing Jon's Work` if you already control ~@.)\n<u>Armed -- `Fully Automatic Assault Rifle`</u> (~@ enters with a `Fully Automatic Assault Rifle` attached.)٫ <u>Sluggish</u> (~@ deals damage after other combatants.)\nWhenever ~@ intercepts create a <u>Transient</u> <u>Fleeting</u> `Personal Defense Drone` also intercepting.\nIf ~@ has a <u>Gun</u> she gets +2/+2.,"""Boss don't take this the wrong way... but why did you decide it was a good idea to have a creepy little girl guarding you?"" ~Reid Bodyguard",3.0,1.0,,,
