Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
LXI.CMDR,Marcus Briggs٫ Spacecorp Commander,3,MMMMMM,Melee,Asset,Augmented Human Male Spacecorp,,(Becomes <i>'Brigg's Remorse'</i> if you already control ~@.)\n<b><i>As Commander</i> --</b> Assets you control have <u>Airdrop</u> (You may choose to have that asset deploy immediately [no deployment period]٫ but you have a 25% chance to <u>forfeit</u> it unless you pay half of its cost again [rounded up.])\n<b><i>As Asset</i> --</b> After interceptors are declared٫ if ~@ would do combat damage to a commander٫ you may put a combatant in your hand onto the battlefield attacking. If you do٫ <u>forfeit</u> it at the end of your turn.,,3.0,3.0,,,
LXI.CMDRb,Briggs' Remorse,2,XMMM,,R. Effect,<u>Personal</u>,,Choose anything to take [X] damage.\nYou may deploy an asset in your hand with <u>Generalized Cost</u> (The cost of the card if all typed symbols were replaced with generic numbers. E.x. ~ has a generalized cost of [1].) [X] or less without paying its cost.\n<u>Personal</u> (Shuffle `Marcus Briggs٫ Spacecorp Commander` back into your deck.),,,,,,
LXI.G1,Space Shuttle,10,20,Melee,Asset,<u>Vehicle</u> <u>Spacecraft</u>,,<u>Vehicle</u> (When ~ enters the battlefield٫ you may choose another asset to attach it to. The combined unit has all effects of both assets٫ and the highest attack power٫ health٫ and ranged status of the two.)٫ <u>Spacecraft</u> (~ can only intercept or be intercepted by assets with Spacecraft.),,5.0,5.0,,,
LXI.M1,Mining Fleet,3,4MM,Melee,Asset,Miner Spacecorp <u>Spacecraft</u> <u>Mob</u>,,<u>Mob</u> (You may assign any number of mob combatants you control to a unit. You٫ not your opponent٫ choose how combat damage is divided among the intercepted and intercepting mob units you control.)٫ <u>Spacecraft</u> (~ can only intercept or be intercepted by assets with spacecraft.)\nA deck may have any number of ~ in it.\n~ can only mob with other spacecraft.,,1.0,1.0,,,
LXI.M2,Dropship Trooper,3,2MMM,Ranged,Asset,Augmented Spacecorp Soldier,,<u>Airdrop</u> (You may choose to have ~ deploy immediately [no deployment period]٫ but you have a 25% chance to <u>forfeit</u> it unless you pay half of its cost again [rounded up.])٫ <u>Mob</u> (You may assign any number of mob combatants you control to a unit. You٫ not your opponent٫ choose how combat damage is divided among the intercepted and intercepting mob units you control.),,4.0,4.0,,,
LXI.MO1,Lexi Xenos٫ Spacecorp Cadet,1,MM/O,Melee,R. Asset,Human Female Lux Spacecorp Doctor Recruit,,(Becomes `Tales of a Brilliant Doctor` if you already control ~@.)\n<u>Rush</u> (~ can attack without waiting for her deployment period.)\n<u>Hippocratic Oath --</u> Whenever another combatant you control takes damage٫ ~@ gets +2/+2 until end of turn.,"""...I will remember that there is art to medicine as well as science٫ and that warmth٫ sympathy٫ and understanding may outweigh the surgeon's knife or the chemist's drug...""",1.0,1.0,,,
LXI.MO1b,Tales of a Brilliant Doctor,3,3OOO,,R. Effect,<u>Personal</u> <u>Response</u> Surgery,,<u>Response</u> (You may deploy ~ during response windows.)\nChoose an asset then <u>Heal it Fully</u> (If the specified asset has attack power or health reductions٫ reset them. Then remove all damage from it.)\n<u>Personal</u> (Shuffle `Lexi Xenos٫ Spacecorp Cadet` back into your deck.),"""Did you hear? They brought down a miner from space yesterday!""\n""No Why?""\n""Poor lady got crushed between her ship and her rock٫ paralyzed from the legs down.""\n""Who was tasked with the surgery?""",,,,,
LXI.V1,Prototype Tractor Beam,3,4VV,,Asset,<u>Equipment</u>,,<u>Equipment</u> (When ~ enters the battlefield٫ you may choose an asset to attach it to.)\n[T]٫ utilize the attached asset: Choose an asset to utilize.,"""And that concludes my thesis presentation!"" Releases Strap.\nTractor Beam Clatters to the Ground.\nAudience chuckles٫ Lina blushes.",,,,,
LXI.MV1,Lina Pathak٫ Spacecorp Cadet,1,MV,Melee,R. Asset,Augmented Human Female Spacecorp Engineer Recruit,,(Becomes `Tales of a Talented Engineer` if you already control ~@.)\n<u>Rush</u> (~ can attack without waiting for her deployment period.)\nWhen ~@ enters choose an Augmented or Drone to gain <u>Armor 2</u> (Negate the first 2 damage ~ would take each turn.).\nIf you control an Equipment ~@ gets +2/+2.,"""I lost my arm when I was a little girl٫ my dad built me a new one in the garage. I have wanted to be a cyberneticist ever since.""",0.0,3.0,,,
LXI.MV1b,Tales of a Talented Engineer,2,2VV,,R. Effect,<u>Personal</u> <u>Response</u>,,<u>Response</u> (You may deploy ~ during response windows.)\nChoose an Augmented or Drone to have its attack power and health permanently swapped.\n<u>Personal</u> (Shuffle `Lina Pathak٫ Spacecorp Cadet` back into your deck.)٫,"""Did you hear? Lina's tractor beam caught fire last night! It almost burned the Musk building down!""",,,,,
