Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
SKY.t0,Target Elimination Rifle,2,OOO,,Asset,<u>Transient</u> Enigmatic Skynet <u>Gun</u> <u>Equipment</u>,0.0,<u>Ammo 2</u>٫ <u>Gun</u>٫ <u>Tradable</u>٫ <u>Equipment</u>\nAs long as ~ has ammo remaining the attached asset has <u>Sniper</u> (It can attack from the backline.) and <u>Challenger</u> (Whenever it attacks you may choose one combatant to intercept it [even if utilized].)\n[T] the attached asset to add a charge to ~. At the start of your turn ~ gains a charge.\nIf the attached asset would deal damage to an asset with generalized cost less than ~‘s charge instead remove all charges from ~ and remove that asset from the game.,,,,,,
SKY.t1,Skynet Assassin,2,OOOO,Melee,Asset,<u>Transient</u> Human Child Skynet Assassin,0.0,<u>Armed -- `Target Elimination Rifle`</u> (~@ enters with a `Target Elimination Rifle` attached.)٫ <u>Armed -- `Skynet Silenced Pistol`</u>٫ <u>Freerunning</u> (Whenever ~ would take damage during combat٫ you may instead remove it from combat. If you do remove this effect.),,2.0,2.0,,,
SKY.CMDR,Skynet Central Control,5,6OOOO,,Commander,Skynet AI,,(Becomes `Skynet is Watching` if you already control ~.)\n<b><i>As Commander</i> --</b> Combatants you control have <u>Firewall Forfeit a Generator or Card in Your Hand</u> (They can’t be chosen unless the choosing player Forfeits a Generator or Card in Their Hand).\n<b><i>As Asset</i> --</b> Whenever a card you control is chosen by an opponent you may create a `Target Elimination Rifle` on the battlefield. If ~ is <u>Embodied</u> (Inside a vehicle.) instead create a `Skynet Assassin`.,,,,,,
SKY.CMDRb,Skynet is Watching,2,OOO,,R. Asset,<u>Personal</u>,0.0,Tell an opponent what to choose next. If the next time they choose something they choose it you both draw a card٫ otherwise <u>Hack that card or effect</u> (Send that card or effect on the stack to its owner’s discard pile٫ none of its effects occur.).\n<u>Personal</u> (Shuffle `Skynet Central Control` back into your deck.),,,,,,
SKY.O1,Skynet Silenced Pistol,5,8OO,,Asset,Skynet <u>Gun</u> <u>Equipment</u>,,<u>Ammo 5</u>٫ <u>Gun</u> (As long as ~ has ammo remaining٫ the attached asset is ranged.)٫ <u>Tradeable</u> (Once each turn while reorganizing units٫ you may pay ~‘s cost٫ if you do choose another asset to attach ~ to.)٫ <u>Equipment</u> (When ~ enters the battlefield٫ you may choose an asset to attach it to.)\nAs long as ~ has ammo remaining the attached asset has <u>Stealth</u> (The chosen asset can’t be intercepted.).,,,,,,
SKY.O2,Skynet Surveillance Camera,2,OOOO,Melee,Asset,Skynet Camera,,<u>Vehicle for Skynet Central Control</u> (~ counts as a Vehicle but only for Skynet Central Control.)\nA deck may have any number of ~ in it. If ~ has an AI inside of it٫ whenever a card you control is chosen by an opponent you may draw a card.,,0.0,1.0,,,
SKY.O3,Orphanage Bully,1,OO,Melee,Asset,Human Child,,,,2.0,2.0,,,
SKY.O4,Shaomao٫ Energetic Orphan,1,O,Melee,Asset,Human Female Shaomao Child,,(Becomes `Stand up to the Bullies` if you already control ~.)\n<u>Freerunning</u> (Whenever ~ would take damage during combat٫ you may instead remove it from combat. If you do remove this effect.)\nIf you control a Chan card neither ~ nor that card take frontline slots.,They call her Little Kitty because she is always climbing on everything and always lands on her feet.,1.0,1.0,,,
SKY.O4b,Stand up to the Bullies,1,O,,R. Effect,Scrappy <u>Personal</u> <u>Response</u>,0.0,<u>Response</u> (You may deploy ~ during response windows.)\nChoose an asset to utilize and <u>Stun</u> (The next time that card would be readied instead it isn’t.).\n<u>Personal</u> (Shuffle `Shaomao٫ Energetic Orphan` back into your deck.),“Don’t listen to them Chan٫ your smarter than they will ever be!”,,,,,
SKY.O5,Chan٫ Shaomao’s Best Friend,1,O,Melee,Asset,Human Female Chan Child,,(Becomes `“You Always Hide Behind a Little Girl”` if you already control ~.)\n<u>Freerunning</u> (Whenever ~ would take damage during combat٫ you may instead remove it from combat. If you do remove this effect.)\nIf you control a Shaomao card٫ ~ gets +2/+2.,“Shaomao give me back my glasses!”,0.0,1.0,,,
SKY.O5b,“You Always Hide Behind a Little Girl”,1,O,,R. Effect,<u>Personal</u> <u>Response</u>,0.0,<u>Response</u> (You may deploy ~ during response windows.)\nChose an <u>Explicitly Male</u> (It must say Male in its type) and an <u>Explicitly Female</u> (It must say Female in its type) asset to gain <u>Freerunning</u>.\n<u>Personal</u> (Shuffle `Chan٫ Shaomao’s Best Friend ` back into your deck.),The children call him Coward because he’s always hiding behind a girl half his height.,,,,,
