Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
MAO.t0,Tip,2,4,,Effect,<u>Transient</u> <u>Response</u> Clue,0.0,<u>Transient</u> (If ~ would enter your discard٫ instead remove it from the game.)٫ <u>Response</u> (You may deploy ~ in response to other cards and effects.)٫ <u>Advantageous</u> (When ~ resolves٫ draw a card.)\nWhen you draw ~٫ reveal it٫ then draw a card.,"""What's that sound... is it crying?"" ~Shuijing Shuiyu",,,,,
MAO.CMDR,Min Yisheng٫ Unhinged Researcher,2,1NN,Melee,Commander,Enigmatic Human Female Scientist,,"(Becomes `""I Only Need One""` if you already control ~@.)\nWhen ~@ dies draw a card.\n<b><i>As Commander</i> --</b> At the beginning of your turn٫ if you have no cards in hand٫ <u>Forfeit</u> up to three assets and/or generators then draw X cards (X is the number of cards you forfeit.)\n<b><i>As Asset</i> --</b> [T]٫ <u>Forfeit</u> X (X is the generalized cost of the card to be returned.) non-<u>Transient</u> assets you control which share a type with an asset of your choice in your discard: Return that asset from your discard to the battlefield٫ it permanently becomes a Mutant.",No sane Oocyte Retrieval Specialist would extract as many as she needed for her research٫ especially once they learned what they were for...,1.0,2.0,,,
MAO.CMDRb,"""I Only Need One""",2,NNNN,,R. Effect,<u>Personal</u>,,Choose two assets controlled by a single player then that player choose one to <u>Forfeit</u> (The specified asset's owner puts it into their discard pile.)\nIf you are the owner of those assets٫ create a `Test Tube Embryo`.\n<u>Personal</u> (When ~ resolves shuffle `Min Yisheng٫ Unhinged Researcher` back into your deck.),...The female body has two ovaries٫ such unnecessary redundancy...,,,,,
MAO.N1,Self Inflicted Surgery,3,NNNNN,,Effect,Surgery,,Choose a combatant to deal damage to itself equal to its attack power. If you control it and it survives <u>Heal it Fully</u> (If the specified asset has attack power or health reductions٫ reset them. Then remove all damage from it.) then create a `Test Tube Embryo` and your commander gains 2 <u>Injury</u>.,...Only one recourse٫ she was a trained surgeon... she would operate on herself... deep breaths Min just like you practiced in medical school...,,,,,
MAO.N2,Test Tube Embryo,1,NN,Melee,Asset,Human Child,,<u>Warrant</u> (When you deploy ~٫ shuffle an 'Incarceration' into your deck.)\n~ can't attack or intercept.\nAt the beginning of each turn permanently increase ~'s attack power by one.\n[T]: Transform ~  into a copy of any revealed combatant with equal attack power except it has <u>Bleeding</u> (At the end of your turn the specified asset permanently loses 1 health.),,0.0,1.0,,,
MAO.N3,Min's Surgery Table,2,2NN,,Asset,Table,,[T]: You may <u>Forfeit</u> an asset to permanently halve (round down) the cost of a Surgery card in your hand.,...As the table's blade broke her skin Min screamed٫ there is a reason surgeries usually involve anesthesia... but to operate on herself she would need a clear head.,,,,,
MAO.N4,Medical Pariah,2 / 1 / 2,0+,,Effect,<u>Decision</u>,,<u>Exchange [1]</u> ([1]٫ Discard ~ from your hand: Draw a card.)٫ <u>Decision</u> (You may choose one or more٫ this card's cost is the sum total of its base cost plus all decisions made.)\n-> <u>Shunned -- [N][N][N][+]</u> Your commander loses half its morale.\n-> <u>Fired -- [N][N][+]</u> Discard half of the cards in your hand.\n-> <u>Bank Took the House -- [N][N][N][N][+]</u> <u>Forfeit</u> (Put the specified card into its owner's discard.) half of the assets you control.,"When it got out that Min had asked to have her own eggs extracted for her experiments she suddenly ""resigned"" over an ethics violation.",,,,,
MAO.N5,Feline Genetic Material,2,1NN,,Asset,Mutant Drug,,[T]٫ <u>Forfeit</u> ~: Choose an asset on the stack to permanently gain <u>Permanence</u> (Damage that asset deals is not removed at end of turn.) and be a Cat Mutant.\nAfter that asset has attacked twice it permanently gains <u>Sluggish</u> (That asset deals damage after other combatants.)\nAfter that asset has attacked five times <u>Forfeit</u> (The specified asset's owner puts it into their discard pile.) it.,"""Feline material causes the growth of sharp claws. This morning Mao 2 left a painful gash on my forearm. Temperment has not been improved since the last subject."" ~Min's Research Notes	",,,,,
MAO.N6,Canine Genetic Material,1,1N,,Asset,Mutant Drug,,[T]٫ <u>Forfeit</u> ~: Choose an asset on the stack to permanently gain <u>Rush</u> (That asset can attack without waiting for its deployment period.) and be a Dog Mutant.\nAfter that asset has attacked twice it permanently gains <u>Sluggish</u> (That asset deals damage after other combatants.)\nAfter that asset has attacked five times <u>Forfeit</u> (The specified asset's owner puts it into their discard pile.) it.,"""In the hopes that canines might have an improved temperament canine material has been tested. Gou 1 has currently clamped her mouth around my leg. Her dental structure has been obviously modified and not pleasantly."" ~Min's Research Notes",,,,,
MAO.NU1,Vulpine Genetic Material,1,N/U,,Asset,Mutant Drug,,[T]٫ <u>Forfeit</u> ~: Choose an asset on the stack to permanently gain <u>Subterfuge</u> (Cards can't be drawn whenever that asset is attacking.) and be a Fox Mutant.\nAfter that asset has attacked twice it permanently gains <u>Sluggish</u> (That asset deals damage after other combatants.)\nAfter that asset has attacked five times <u>Forfeit</u> (The specified asset's owner puts it into their discard pile.) it.,"""If anyone tells you foxes are cute... they are a liar! They are sneaky٫ smelly٫ terrible demons and Huli 1 is no exception!"" ~Min's Research Notes",,,,,
